iter	RMSE
115	0.3600727711
116	0.3598120775
117	0.3595710753
118	0.3591449472
119	0.3589665299
120	0.3586813175
121	0.3583668294
122	0.3580866658
123	0.3578971391
124	0.3575307183
125	0.3572130114
126	0.3569250725
127	0.3566157309
128	0.3562132232
129	0.3558668976
130	0.3554480631
131	0.3550799612
132	0.3548461777
133	0.3545911162
134	0.3543601296
135	0.3540147297
136	0.353799629
137	0.3535048489
138	0.3532178883
139	0.352866557
140	0.3525956508
141	0.352431786
142	0.3520659357
143	0.35186213
144	0.3515654554
145	0.3513946274
146	0.3510877318
147	0.3508510807
148	0.3506953968
149	0.3503538476
150	0.3500608805
151	0.3498762301
152	0.3496303625
153	0.3494589882
154	0.3492268424
155	0.3490623349
156	0.3488390074
157	0.3485855286
158	0.3483448215
159	0.3481988114
160	0.3479298943
161	0.3476656866
162	0.3473287324
163	0.3471067851
164	0.34680807
165	0.3465791797
166	0.3464777777
167	0.3463094931
168	0.3461440063
169	0.345930494
170	0.3457175994
171	0.3454633366
172	0.3453139683
173	0.3451453471
174	0.3448830268
175	0.3446892755
176	0.3445373023
177	0.3443823671
178	0.3441166815
179	0.3438730046
180	0.3437258753
181	0.3435236713
182	0.3433102155
183	0.3430851267
184	0.3429356548
185	0.3426722601
186	0.3424571665
187	0.3422353841
188	0.3420778601
189	0.3418716132
190	0.341671884
191	0.3414899121
192	0.3413068514
193	0.341107044
194	0.3409114451
195	0.3407088771
196	0.3404907814
197	0.340307
198	0.3401446115
199	0.3399268178
200	0.3396994677
201	0.3395605219
202	0.3393656736
203	0.3391498725
204	0.3389210299
205	0.3386870601
206	0.3385440795
207	0.3383451156
208	0.338231715
209	0.3381034137
210	0.3378814657
211	0.3376666725
212	0.3374984247
213	0.3372516
214	0.3370616264
215	0.3369198346
216	0.3367632564
217	0.3365652864
218	0.3363699472
219	0.3362258841
220	0.3361478298
221	0.3360063111
222	0.3358987295
223	0.3357489235
224	0.3356082559
225	0.3354371152
226	0.3352165594
227	0.3350717478
228	0.334876553
229	0.3347126988
230	0.3344341545
231	0.3343022396
232	0.3340505157
233	0.3339242707
234	0.3336971807
235	0.3336686737
236	0.3335153797
237	0.3333528058
238	0.3331665033
239	0.3330763068
240	0.3329181424
241	0.3327549886
242	0.3325843387
243	0.3324812638
244	0.3323309168
245	0.3321994173
246	0.3320286143
247	0.3318940342
248	0.3317965734
249	0.3315933398
250	0.3314512152
251	0.3312855532
252	0.3310832043
253	0.3309197919
254	0.3308081332
255	0.3307088861
256	0.3306073422
257	0.3304374543
258	0.3303572982
259	0.3302602379
260	0.3301816493
261	0.3300033817
262	0.3298519926
263	0.3297456993
264	0.3296779717
265	0.329510587
266	0.3293837543
267	0.3292977576
268	0.3291757699
269	0.3291022334
270	0.3290212175
271	0.3289420414
272	0.3288065588
273	0.3286894244
274	0.3285102949
275	0.3283939438
276	0.3283047471
277	0.3282224447
278	0.3280422235
279	0.3279277752
280	0.3277989068
281	0.3276901126
282	0.3275694491
283	0.327458217
284	0.3273378583
285	0.3272431271
286	0.3271464391
287	0.3270265202
288	0.3268914758
289	0.3266949692
290	0.3266138563
291	0.3264844584
292	0.3264204508
293	0.3263589298
294	0.3262007277
295	0.3260825931
296	0.3259843967
297	0.3257877068
298	0.3256656046
299	0.3255122836
300	0.3253812034
301	0.3252982355
302	0.3252330793
303	0.3251132846
304	0.3250081283
305	0.32487873
306	0.324749191
307	0.3246539779
308	0.3245324525
309	0.3244004754
310	0.3242818014
311	0.3242033181
312	0.3240887106
313	0.3239330278
314	0.3238739507
315	0.3237280518
316	0.3236207744
317	0.323485355
318	0.3233820944
319	0.3232937289
320	0.3232008636
321	0.3230264234
322	0.3229587793
323	0.3228890384
324	0.3227945776
325	0.322699952
326	0.32260995
327	0.3225089797
328	0.3224257989
329	0.3223706602
330	0.3222541106
331	0.322186066
332	0.3220966814
333	0.3220131265
334	0.3219434911
335	0.3217929867
336	0.3217256756
337	0.3216349324
338	0.3215425913
339	0.3214670823
340	0.3213770198
341	0.3212766642
342	0.3212003984
343	0.3210669774
344	0.3209371573
345	0.3208455089
346	0.320742105
347	0.3206319038
348	0.3205127216
349	0.3204224872
350	0.3202853278
351	0.3201939896
352	0.3201279709
353	0.3200827786
354	0.3199495124
355	0.3198564489
356	0.3197094109
357	0.3195885723
358	0.3195181847
359	0.3193908675
360	0.3192550961
361	0.3191630841
362	0.3190617284
363	0.3189978783
364	0.3189300335
365	0.3188782364
366	0.3188162139
367	0.3187550476
368	0.318655008
369	0.3185628884
370	0.3184793582
371	0.3184127527
372	0.3183521023
373	0.3182757546
374	0.3181950411
375	0.3181179957
376	0.3180570002
377	0.3179469273
378	0.3178729962
379	0.3177727528
380	0.3176948497
381	0.3175739896
382	0.3174730024
383	0.3173583214
384	0.3172784017
385	0.3172058989
386	0.3171413744
387	0.3170321325
388	0.3169713569
389	0.316911648
390	0.31682523
391	0.3167220002
392	0.3166146885
393	0.3165481
394	0.3164599948
395	0.3164226121
396	0.3163660639
397	0.3163157108
398	0.3162154877
399	0.31607654
400	0.3160269669
401	0.3159313726
402	0.3158410693
403	0.3157426355
404	0.3156838438
405	0.3156282835
406	0.3155497584
407	0.3155026139
408	0.3154581995
409	0.3153793725
410	0.3152823312
411	0.3151983888
412	0.3151123174
413	0.3150620067
414	0.3150124632
415	0.314827218
416	0.31474597
417	0.3146706624
418	0.3146071226
419	0.3145340389
420	0.3144652722
421	0.3143881303
422	0.3143281862
423	0.314242881
424	0.3141619535
425	0.314102778
426	0.3139915496
427	0.3139324837
428	0.3138421239
429	0.3137820726
430	0.3137095482
431	0.3136744479
432	0.3135737976
433	0.313527815
434	0.3134654278
435	0.3133570792
436	0.3132425305
437	0.313187491
438	0.3130697881
439	0.3129955435
440	0.3128755696
441	0.3127816015
442	0.3126929866
443	0.3126307272
444	0.3125064818
445	0.3124503473
446	0.3123813137
447	0.3123131703
448	0.3122544064
449	0.3122139844
450	0.3121361922
451	0.3120050278
452	0.3119376889
453	0.3118387674
454	0.3117756887
455	0.3117205678
456	0.3116357026
457	0.3115611848
458	0.3115096933
459	0.3114358785
460	0.3113896577
461	0.3112634312
462	0.311208776
463	0.3110871572
464	0.3110279272
465	0.3109728074
466	0.3109073548
467	0.3108516803
468	0.3107988006
469	0.3107405867
470	0.3106702574
471	0.3105622116
472	0.3104771088
473	0.310365718
474	0.3102950057
475	0.3102228302
476	0.3101712477
477	0.3101172815
478	0.3100531669
479	0.310020277
480	0.309972844
481	0.3099174927
482	0.3098482547
483	0.3097885412
484	0.3097466296
485	0.3097066006
486	0.3096372738
487	0.3096046446
488	0.3095109173
489	0.3094600002
490	0.309348165
491	0.3093124365
492	0.3092791614
493	0.3092222255
494	0.3091732661
495	0.3090900664
496	0.3089658982
497	0.3089035185
498	0.3088676403
499	0.3088159582
